"","cuedAR","uncuedAR","sameDirection1S0D","responseAR","barkod"
"800",-0.41698684,0.32432225,"Grouped",-0.221197548387097,2
"821",-0.41698684,0.37065407,"Grouped",-0.161303847777778,2
"842",-0.41698684,0.41698588,"Grouped",-0.204405561176471,2
"863",-0.41698684,0.4633177,"Grouped",-0.138995908108108,2
"3",-0.37065503,-0.46331866,"Ungrouped",-0.274130405,3
"24",-0.37065503,-0.41698684,"Ungrouped",-0.197207706410256,3
"45",-0.37065503,-0.37065503,"Ungrouped",-0.204499539655172,3
"66",-0.37065503,-0.32432321,"Ungrouped",-0.22007661575,3
"87",-0.37065503,-0.27799139,"Ungrouped",-0.225040739642857,3
"108",-0.37065503,-0.23165957,"Ungrouped",-0.06415219,3
"129",-0.37065503,-0.18532775,"Ungrouped",-0.1000772072,3
"150",-0.37065503,-0.13899593,"Ungrouped",-0.191946583928571,3
"171",-0.37065503,-0.09266412,"Ungrouped",-0.180694571333333,3
"192",-0.37065503,-0.0463323,"Ungrouped",-0.185327753928571,3
"213",-0.37065503,-4.8e-07,"Ungrouped",-0.157528661,3
"234",-0.37065503,0.04633134,"Ungrouped",-0.132952653913043,3
"255",-0.37065503,0.09266316,"Ungrouped",-0.1969107078125,3
"276",-0.37065503,0.13899498,"Ungrouped",-0.145614765238095,3
"297",-0.37065503,0.18532679,"Ungrouped",-0.182238964666667,3
"318",-0.37065503,0.23165861,"Ungrouped",-0.166249945882353,3
"339",-0.37065503,0.27799043,"Ungrouped",-0.1223164796,3
"360",-0.37065503,0.32432225,"Ungrouped",-0.221587436086957,3
"381",-0.37065503,0.37065407,"Ungrouped",-0.1250963895,3
"402",-0.37065503,0.41698588,"Ungrouped",-0.248390505277778,3
"423",-0.37065503,0.4633177,"Ungrouped",-0.175399505357143,3
"444",-0.37065503,-0.46331866,"Grouped",-0.235223556153846,3
"465",-0.37065503,-0.41698684,"Grouped",-0.26872502625,3
"486",-0.37065503,-0.37065503,"Grouped",-0.178708922142857,3
"507",-0.37065503,-0.32432321,"Grouped",-0.180534806551724,3
"528",-0.37065503,-0.27799139,"Grouped",-0.1904757325,3
"549",-0.37065503,-0.23165957,"Grouped",-0.202901890689655,3
"570",-0.37065503,-0.18532775,"Grouped",-0.190475733703704,3
"591",-0.37065503,-0.13899593,"Grouped",-0.249911498787879,3
"612",-0.37065503,-0.09266412,"Grouped",-0.150578889642857,3
"633",-0.37065503,-0.0463323,"Grouped",-0.172090089285714,3
"654",-0.37065503,-4.8e-07,"Grouped",-0.166249945294118,3
"675",-0.37065503,0.04633134,"Grouped",-0.223235603636364,3
"696",-0.37065503,0.09266316,"Grouped",-0.247774986956522,3
"717",-0.37065503,0.13899498,"Grouped",-0.142856919722222,3
"738",-0.37065503,0.18532679,"Grouped",-0.161363019655172,3
"759",-0.37065503,0.23165861,"Grouped",-0.151631884242424,3
"780",-0.37065503,0.27799043,"Grouped",-0.165250631,3
"801",-0.37065503,0.32432225,"Grouped",-0.148581827586207,3
"822",-0.37065503,0.37065407,"Grouped",-0.1588524275,3
"843",-0.37065503,0.41698588,"Grouped",-0.1853277528,3
"864",-0.37065503,0.4633177,"Grouped",-0.185327753636364,3
"4",-0.32432321,-0.46331866,"Ungrouped",-0.117936017272727,4
"25",-0.32432321,-0.41698684,"Ungrouped",-0.14378888137931,4
"46",-0.32432321,-0.37065503,"Ungrouped",-0.177054213928571,4
"67",-0.32432321,-0.32432321,"Ungrouped",-0.230115177,4
"88",-0.32432321,-0.27799139,"Ungrouped",-0.175399506071429,4
"109",-0.32432321,-0.23165957,"Ungrouped",-0.20638767,4
"130",-0.32432321,-0.18532775,"Ungrouped",-0.222120666176471,4
"151",-0.32432321,-0.13899593,"Ungrouped",-0.192643302631579,4
"172",-0.32432321,-0.09266412,"Ungrouped",-0.1352893892,4
"193",-0.32432321,-0.0463323,"Ungrouped",-0.195623711944444,4
"214",-0.32432321,-4.8e-07,"Ungrouped",-0.1528954795,4
"235",-0.32432321,0.04633134,"Ungrouped",-0.0926641155172414,4
"256",-0.32432321,0.09266316,"Ungrouped",-0.200771692727273,4
"277",-0.32432321,0.13899498,"Ungrouped",-0.109104438709677,4
"298",-0.32432321,0.18532679,"Ungrouped",-0.187109745,4
"319",-0.32432321,0.23165861,"Ungrouped",-0.1612352068,4
"340",-0.32432321,0.27799043,"Ungrouped",-0.188891738846154,4
"361",-0.32432321,0.32432225,"Ungrouped",-0.147419901515152,4
"382",-0.32432321,0.37065407,"Ungrouped",-0.2112735716,4
"403",-0.32432321,0.41698588,"Ungrouped",-0.1556753896,4
"424",-0.32432321,0.4633177,"Ungrouped",-0.0593631215625,4
"445",-0.32432321,-0.46331866,"Grouped",-0.238523544074074,4
"466",-0.32432321,-0.41698684,"Grouped",-0.198197702222222,4
"487",-0.32432321,-0.37065503,"Grouped",-0.233765562727273,4
"508",-0.32432321,-0.32432321,"Grouped",-0.205184246071429,4
"529",-0.32432321,-0.27799139,"Grouped",-0.0926641160606061,4
"550",-0.32432321,-0.23165957,"Grouped",-0.172853802307692,4
"571",-0.32432321,-0.18532775,"Grouped",-0.102960075185185,4
"592",-0.32432321,-0.13899593,"Grouped",-0.0720721962962963,4
"613",-0.32432321,-0.09266412,"Grouped",-0.156711041470588,4
"634",-0.32432321,-0.0463323,"Grouped",-0.128465975454545,4
"655",-0.32432321,-4.8e-07,"Grouped",-0.0926641155555556,4
"676",-0.32432321,0.04633134,"Grouped",-0.0893547010714286,4
"697",-0.32432321,0.09266316,"Grouped",-0.188053152941176,4
"718",-0.32432321,0.13899498,"Grouped",-0.120463206,4
"739",-0.32432321,0.18532679,"Grouped",-0.109824047777778,4
"760",-0.32432321,0.23165861,"Grouped",-0.192141255588235,4
"781",-0.32432321,0.27799043,"Grouped",-0.140540327333333,4
"802",-0.32432321,0.32432225,"Grouped",-0.105534065,4
"823",-0.32432321,0.37065407,"Grouped",-0.185327753333333,4
"844",-0.32432321,0.41698588,"Grouped",-0.0823681566666667,4
"865",-0.32432321,0.4633177,"Grouped",-0.1816212072,4
"5",-0.27799139,-0.46331866,"Ungrouped",-0.0897683784375,5
"26",-0.27799139,-0.41698684,"Ungrouped",-0.198739594473684,5
"47",-0.27799139,-0.37065503,"Ungrouped",-0.146311458684211,5
"68",-0.27799139,-0.32432321,"Ungrouped",-0.180694571,5
"89",-0.27799139,-0.27799139,"Ungrouped",-0.148581827586207,5
"110",-0.27799139,-0.23165957,"Ungrouped",-0.0772201766666667,5
"131",-0.27799139,-0.18532775,"Ungrouped",-0.124050186451613,5
"152",-0.27799139,-0.13899593,"Ungrouped",-0.0669242177777778,5
"173",-0.27799139,-0.09266412,"Ungrouped",-0.0505442809090909,5
"194",-0.27799139,-0.0463323,"Ungrouped",-0.154439874848485,5
"215",-0.27799139,-4.8e-07,"Ungrouped",-0.137213941153846,5
"236",-0.27799139,0.04633134,"Ungrouped",-0.0870481372727273,5
"257",-0.27799139,0.09266316,"Ungrouped",-0.122643528529412,5
"278",-0.27799139,0.13899498,"Ungrouped",-0.119139441428571,5
"299",-0.27799139,0.18532679,"Ungrouped",-0.1890342984,5
"320",-0.27799139,0.23165861,"Ungrouped",-0.102592327857143,5
"341",-0.27799139,0.27799043,"Ungrouped",-0.114543029166667,5
"362",-0.27799139,0.32432225,"Ungrouped",-0.1408492068,5
"383",-0.27799139,0.37065407,"Ungrouped",-0.145386531034483,5
"404",-0.27799139,0.41698588,"Ungrouped",-0.210424154583333,5
"425",-0.27799139,0.4633177,"Ungrouped",-0.136421943888889,5
"446",-0.27799139,-0.46331866,"Grouped",-0.220076615625,5
"467",-0.27799139,-0.41698684,"Grouped",-0.127763979090909,5
"488",-0.27799139,-0.37065503,"Grouped",-0.116688021111111,5
"509",-0.27799139,-0.32432321,"Grouped",-0.116837239130435,5
"530",-0.27799139,-0.27799139,"Grouped",-0.136421944722222,5
"551",-0.27799139,-0.23165957,"Grouped",-0.0980100946153846,5
"572",-0.27799139,-0.18532775,"Grouped",-0.18734217826087,5
"593",-0.27799139,-0.13899593,"Grouped",-0.1074902972,5
"614",-0.27799139,-0.09266412,"Grouped",-0.125482485416667,5
"635",-0.27799139,-0.0463323,"Grouped",-0.02509688125,5
"656",-0.27799139,-4.8e-07,"Grouped",-0.160283525675676,5
"677",-0.27799139,0.04633134,"Grouped",-0.166373826818182,5
"698",-0.27799139,0.09266316,"Grouped",-0.1671259675,5
"719",-0.27799139,0.13899498,"Grouped",-0.0792129435483871,5
"740",-0.27799139,0.18532679,"Grouped",-0.108640605172414,5
"761",-0.27799139,0.23165861,"Grouped",-0.111969039583333,5
"782",-0.27799139,0.27799043,"Grouped",-0.120042009090909,5
"803",-0.27799139,0.32432225,"Grouped",-0.150578889642857,5
"824",-0.27799139,0.37065407,"Grouped",-0.143207918181818,5
"845",-0.27799139,0.41698588,"Grouped",-0.08424015,5
"866",-0.27799139,0.4633177,"Grouped",-0.23770285173913,5
"6",-0.23165957,-0.46331866,"Ungrouped",-0.148534838529412,6
"27",-0.23165957,-0.41698684,"Ungrouped",-0.11913944,6
"48",-0.23165957,-0.37065503,"Ungrouped",-0.131007688965517,6
"69",-0.23165957,-0.32432321,"Ungrouped",-0.129410040344828,6
"90",-0.23165957,-0.27799139,"Ungrouped",-0.153941681935484,6
"111",-0.23165957,-0.23165957,"Ungrouped",-0.120042008181818,6
"132",-0.23165957,-0.18532775,"Ungrouped",-0.0982239332,6
"153",-0.23165957,-0.13899593,"Ungrouped",-0.0745342739130435,6
"174",-0.23165957,-0.09266412,"Ungrouped",-0.056404432173913,6
"195",-0.23165957,-0.0463323,"Ungrouped",-0.0686402107407407,6
"216",-0.23165957,-4.8e-07,"Ungrouped",-0.0807075174193548,6
"237",-0.23165957,0.04633134,"Ungrouped",-0.134362752666667,6
"258",-0.23165957,0.09266316,"Ungrouped",-0.117374418666667,6
