"subNum","trial_number","cuedAR","uncuedAR","responseAR","rt","shape_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","pairGlobalOrg","pairMotSame","responseError","sameARCat","pairAR_sameCondition","id","corrCoeff","corrPval"
293737,31,-0.46331866,-0.00000048,-0.32432321,2485,0,1,0,180,0,0.6,0,1,0,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,32,0.18532679,-0.37065503,-0.09266412,1936,1,1,180,0,0,0.8,180,0,0,-0.27799091,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,33,0.18532679,-0.32432321,0.09266316,1481,1,1,270,270,0,0.6,270,0,1,-0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,34,-0.00000048,0.41698588,-0.18532775,2583,1,2,90,90,0,0.8,90,0,1,-0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,35,-0.41698684,0.41698588,-0.32432321,3029,0,1,270,270,0,0.8,270,1,1,0.0926636300000001,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,36,-0.0463323,-0.0463323,-0.00000048,2702,0,1,0,0,0,0.6,0,1,1,0.04633182,1,1,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,37,-0.09266412,0.27799043,-0.27799139,3135,1,2,180,0,0,0.6,0,0,0,-0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,38,0.18532679,0.13899498,0.09266316,1253,0,1,90,270,0,0.8,90,1,0,-0.09266363,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,39,-0.23165957,-0.00000048,-0.09266412,1519,0,1,90,90,0,0.8,90,1,1,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,40,0.27799043,-0.00000048,0.04633134,1339,1,2,90,90,0,0.8,90,0,1,-0.23165909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,41,0.04633134,0.23165861,-0.23165957,2307,0,1,90,90,0,0.8,90,1,1,-0.27799091,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,42,-0.27799139,-0.00000048,-0.13899593,10939,0,2,0,180,0,0.8,180,1,0,0.13899546,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,43,0.23165861,-0.32432321,-0.13899593,2335,1,1,270,90,0,0.6,270,0,0,-0.37065454,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,44,0.18532679,-0.46331866,0.13899498,2435,1,1,90,90,0,0.8,90,0,1,-0.04633181,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,45,0.27799043,0.09266316,-0.00000048,1593,0,2,0,0,0,0.8,0,1,1,-0.27799091,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,46,0.23165861,-0.13899593,0.32432225,1775,0,1,90,270,0,0.6,90,1,0,0.09266364,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,47,-0.0463323,-0.09266412,-0.13899593,1549,1,2,0,180,0,0.8,180,0,0,-0.09266363,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,48,-0.0463323,-0.18532775,0.04633134,1634,1,1,0,180,0,0.8,0,0,0,0.09266364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,49,-0.37065503,-0.09266412,-0.23165957,2578,1,2,270,90,0,0.6,90,0,0,0.13899546,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,50,0.23165861,0.41698588,0.27799043,3101,1,2,0,0,0,0.8,0,0,1,0.04633182,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,51,-0.13899593,-0.46331866,-0.09266412,1608,1,1,90,270,0,0.6,90,0,0,0.04633181,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
